author,headline,link
Mike DeBonis,"Trump urges GOP to fix immigration system, gives no preference on bills",https://www.washingtonpost.com/powerpost/trump-is-defiant-as-border-crisis-escalates-prepares-to-lobby-house-gop-on-immigration-bills/2018/06/19/e20a108e-73c1-11e8-805c-4b67019fcfe4_story.html
Peter Slevin,‘You can’t just gloss over this history’: Movement to honor Ida B. Wells gains momentum,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Mike DeBonis,"Trump urges GOP to fix immigration system, gives no preference on bills",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,The Fix: Senate Republicans rebuke Trump on family separations,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,Analysis: Four Pinocchios for White House’s claims on why families are being split at the border,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Carol Morello,U.S. quits U.N. Human Rights Council over perceived bias against Israel,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Matt Zapotosky,Agent who said ‘we’ll stop’ Trump escorted from FBI building,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Peter Slevin,‘You can’t just gloss over this history’: Movement to honor Ida B. Wells gains momentum,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Tony Romm,"Data collection, targeting of Facebook users threatens free speech, whistleblower warns",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Tony Romm,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Molly Roberts,Look who’s politically correct now,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Molly Roberts,Look who’s politically correct now,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Helaine Olen,Why Trump has upped the ante on cruelty,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Helaine Olen,Why Trump has upped the ante on cruelty,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
David Von Drehle,America’s No. 1 voter fraud conspiracy theorist goes down in court,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
David Von Drehle,America’s No. 1 voter fraud conspiracy theorist goes down in court,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Dana Milbank,"Republicans, your ‘regular order’ is out of order",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Dana Milbank,"Republicans, your ‘regular order’ is out of order",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
David Ignatius,They’ve had the handshake. Now it’s time to make a deal.,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
David Ignatius,They’ve had the handshake. Now it’s time to make a deal.,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Christine Emba,Trump wants his ‘Space Force’ to be ‘separate but equal.’ Notice anything odd?,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Christine Emba,Trump wants his ‘Space Force’ to be ‘separate but equal.’ Notice anything odd?,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Erica Werner,"House GOP plan would cut Medicare, Social Security to balance budget",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Erica Werner,"House GOP plan would cut Medicare, Social Security to balance budget",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Devlin Barrett,Republicans hammer FBI over handling of Clinton email,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Devlin Barrett,Republicans hammer FBI over handling of Clinton email,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Siobhán O'Grady,Mussolini comparisons emerge after Italian official calls for Roma census,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Siobhán O'Grady,Mussolini comparisons emerge after Italian official calls for Roma census,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Ben Terris,The ballad of Big John Fetterman,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Ben Terris,The ballad of Big John Fetterman,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Caitlin Dewey,This start-up can make avocados last twice as long before going bad,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Caitlin Dewey,This start-up can make avocados last twice as long before going bad,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Rachel Weiner,Hackers stole federal workers’ information four years ago. Now we know what criminals did with it.,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Rachel Weiner,Hackers stole federal workers’ information four years ago. Now we know what criminals did with it.,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Chuck Culpepper,Russia on verge of reaching knockout stage with dominance against Egypt,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
Chuck Culpepper,Russia on verge of reaching knockout stage with dominance against Egypt,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,"These cowboys and cowgirls of the Mississippi Delta don’t ride herd, they ride for fun",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,How foreign-born players put the world in World Cup,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,These women have won their primaries. Will they be elected in November?,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,"Children, the border and a familiar mix of emotions",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,Saudi women on the front line of change,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,Blair House: A house of history and hospitality,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,Is there a law that requires families to be separated at the border? | Fact Checker,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,Is there a law that requires families to be separated at the border? | Fact Checker,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,The meaning behind 5 pieces of art seen in the new Beyoncé and Jay-Z video,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,The meaning behind 5 pieces of art seen in the new Beyoncé and Jay-Z video,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,"Opinion | For the Rezaians, watching Iran in the World Cup isn’t just about winning",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,"Opinion | For the Rezaians, watching Iran in the World Cup isn’t just about winning",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,Plant found in Virginia has sap that burns and blinds,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,Plant found in Virginia has sap that burns and blinds,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,More popular stories on washingtonpost.com,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,"This Juneteenth, commemorate the end of slavery and remember the families still torn apart in this country",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,"This Juneteenth, commemorate the end of slavery and remember the families still torn apart in this country",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,"At the Texas-Mexico border, her son begged not to be taken. They took him anyway.",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,"At the Texas-Mexico border, her son begged not to be taken. They took him anyway.",https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,Sexual harassment starts at a young age for many girls. The effect can be lifelong.,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,Sexual harassment starts at a young age for many girls. The effect can be lifelong.,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
,,https://www.washingtonpost.com/lifestyle/style/you-cant-just-gloss-over-this-history-the-movement-to-honor-ida-b-wells-gains-momentum/2018/06/15/50445bbc-700d-11e8-bd50-b80389a4e569_story.html
